03/04/2015 13:04:40:179  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :redirectinfo___screeninginfo to complex: redirectinfo:screeninginfo  as []
03/04/2015 13:04:40:179  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___vpcoveragetype to complex: session:vpcoveragetype  as [unknown]
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___protocolname to complex: session:protocolname  as [H323]
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___vpcoveragereason to complex: session:vpcoveragereason  as [unknown]
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___videocodec to complex: session:videocodec  as [unknown]
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___videoformat to complex: session:videoformat  as [unknown]
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___videowidth to complex: session:videowidth  as [unknown]
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___videoenabled to complex: session:videoenabled  as [unknown]
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___videoheight to complex: session:videoheight  as [unknown]
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :redirectinfo___reason to complex: redirectinfo:reason  as []
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :redirectinfo___presentationinfo to complex: redirectinfo:presentationinfo  as []
03/04/2015 13:04:40:180  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___mediatype to complex: session:mediatype  as [unknown]
